scenario,method,n_samples,accuracy,precision,recall,f1,tp,tn,fp,fn,cumulative_latency_s,lat_p50_ms,lat_p90_ms,lat_p95_ms,lat_p99_ms,lat_mean_ms,lat_min_ms,lat_max_ms,lat_n
fire_videos,yolo,1997,0.8262393590385578,1.0,0.8262393590385578,0.9048533040855499,1650,0,0,347,104.07884371103319,51.890359000026365,79.4317128002149,85.60390260026905,92.74055476125795,52.11759825289594,8.413020999796572,690.2648400009639,1997
fire_videos,gemma_full,1997,0.9789684526790186,1.0,0.9789684526790186,0.9893724696356275,1955,0,0,42,5873.863844302046,2926.1555670000234,3404.008672599957,3588.055924399304,4157.570635838638,2941.3439380581103,2085.336782000013,5390.515979999691,1997
fire_videos,periodic_k5,1997,0.85628442663996,1.0,0.85628442663996,0.9225789047747506,1710,0,0,287,1281.1364742790358,62.692213999980595,3018.3966142019926,3223.6136587998762,3641.4118599604985,641.5305329389263,8.413020999796572,4835.435443001188,1997
nonfire_videos,yolo,1933,0.8365235385411278,0.0,0.0,0.0,0,1617,316,0,36.06767226395823,14.053376999072498,32.215749000170035,32.275886600109516,32.87510672031203,18.658909603703172,8.269021000160137,33.03491299811867,1933
nonfire_videos,gemma_full,1933,1.0,0.0,0.0,0.0,0,1933,0,0,6836.590204892989,3377.610995001305,4520.880748600757,4823.116359402047,5232.251682801435,3536.777136519912,2274.04678899984,5988.159751999774,1933
nonfire_videos,periodic_k5,1933,0.867563372995344,0.0,0.0,0.0,0,1677,256,0,1409.4057217269328,23.3711549990403,3373.802094200073,4021.149097199666,4790.733501078359,729.1286713538193,8.269021000160137,5925.015756998619,1933
combined,yolo,3930,0.8312977099236641,0.8392675483214649,0.8262393590385578,0.8327024981074942,1650,1617,316,347,140.14651597499144,32.19902900127636,70.63261920029618,79.75308639934154,89.33297613055402,35.66069108778408,8.269021000160137,690.2648400009639,3930
combined,gemma_full,3930,0.9893129770992366,1.0,0.9789684526790186,0.9893724696356275,1955,1933,0,42,12710.454049195036,3117.61853400003,4164.9566971009335,4544.54069735002,5106.090299320058,3234.212226258279,2085.336782000013,5988.159751999774,3930
combined,periodic_k5,3930,0.8618320610687022,0.8697863682604272,0.85628442663996,0.8629825889477668,1710,1677,256,287,2690.5421960059684,36.461132500335225,3147.3636452989012,3496.9111077494686,4620.354564561494,684.6163348615696,8.269021000160137,5925.015756998619,3930
